"brand","model","product_id","temperature_c","estimated_psi","point_status","reference_psi","reference_temperature_c","model_id","confidence","inside_published_operating_range"
"Powair","Premium Quality 116 PSI","powair-116","36","172.1","estimated_propane_ratio","116","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 116 PSI","powair-116","37","176.14","estimated_propane_ratio","116","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 116 PSI","powair-116","38","180.24","estimated_propane_ratio","116","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 116 PSI","powair-116","39","184.41","estimated_propane_ratio","116","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 116 PSI","powair-116","40","188.64","estimated_propane_ratio","116","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 145 PSI","powair-145","-15","50.68","estimated_propane_ratio","145","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 145 PSI","powair-145","-14","52.45","estimated_propane_ratio","145","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 145 PSI","powair-145","-13","54.27","estimated_propane_ratio","145","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 145 PSI","powair-145","-12","56.14","estimated_propane_ratio","145","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 145 PSI","powair-145","-11","58.05","estimated_propane_ratio","145","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 145 PSI","powair-145","-10","60.01","estimated_propane_ratio","145","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 145 PSI","powair-145","-9","62.03","estimated_propane_ratio","145","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 145 PSI","powair-145","-8","64.09","estimated_propane_ratio","145","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 145 PSI","powair-145","-7","66.2","estimated_propane_ratio","145","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 145 PSI","powair-145","-6","68.36","estimated_propane_ratio","145","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 145 PSI","powair-145","-5","70.58","estimated_propane_ratio","145","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 145 PSI","powair-145","-4","72.84","estimated_propane_ratio","145","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 145 PSI","powair-145","-3","75.16","estimated_propane_ratio","145","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 145 PSI","powair-145","-2","77.54","estimated_propane_ratio","145","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 145 PSI","powair-145","-1","79.97","estimated_propane_ratio","145","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 145 PSI","powair-145","0","82.46","estimated_propane_ratio","145","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 145 PSI","powair-145","1","85","estimated_propane_ratio","145","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 145 PSI","powair-145","2","87.6","estimated_propane_ratio","145","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 145 PSI","powair-145","3","90.26","estimated_propane_ratio","145","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 145 PSI","powair-145","4","92.97","estimated_propane_ratio","145","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 145 PSI","powair-145","5","95.75","estimated_propane_ratio","145","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 145 PSI","powair-145","6","98.59","estimated_propane_ratio","145","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 145 PSI","powair-145","7","101.48","estimated_propane_ratio","145","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 145 PSI","powair-145","8","104.44","estimated_propane_ratio","145","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 145 PSI","powair-145","9","107.46","estimated_propane_ratio","145","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 145 PSI","powair-145","10","110.54","estimated_propane_ratio","145","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 145 PSI","powair-145","11","113.69","estimated_propane_ratio","145","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 145 PSI","powair-145","12","116.9","estimated_propane_ratio","145","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 145 PSI","powair-145","13","120.18","estimated_propane_ratio","145","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 145 PSI","powair-145","14","123.52","estimated_propane_ratio","145","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 145 PSI","powair-145","15","126.93","estimated_propane_ratio","145","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 145 PSI","powair-145","16","130.41","estimated_propane_ratio","145","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 145 PSI","powair-145","17","133.95","estimated_propane_ratio","145","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 145 PSI","powair-145","18","137.57","estimated_propane_ratio","145","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 145 PSI","powair-145","19","141.25","estimated_propane_ratio","145","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 145 PSI","powair-145","20","145","manufacturer_or_distributor_anchor","145","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 145 PSI","powair-145","21","148.82","estimated_propane_ratio","145","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 145 PSI","powair-145","22","152.72","estimated_propane_ratio","145","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 145 PSI","powair-145","23","156.68","estimated_propane_ratio","145","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 145 PSI","powair-145","24","160.72","estimated_propane_ratio","145","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 145 PSI","powair-145","25","164.84","estimated_propane_ratio","145","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 145 PSI","powair-145","26","169.02","estimated_propane_ratio","145","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 145 PSI","powair-145","27","173.29","estimated_propane_ratio","145","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 145 PSI","powair-145","28","177.62","estimated_propane_ratio","145","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 145 PSI","powair-145","29","182.04","estimated_propane_ratio","145","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 145 PSI","powair-145","30","186.53","estimated_propane_ratio","145","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 145 PSI","powair-145","31","191.1","estimated_propane_ratio","145","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 145 PSI","powair-145","32","195.74","estimated_propane_ratio","145","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 145 PSI","powair-145","33","200.47","estimated_propane_ratio","145","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 145 PSI","powair-145","34","205.27","estimated_propane_ratio","145","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 145 PSI","powair-145","35","210.16","estimated_propane_ratio","145","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 145 PSI","powair-145","36","215.12","estimated_propane_ratio","145","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 145 PSI","powair-145","37","220.17","estimated_propane_ratio","145","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 145 PSI","powair-145","38","225.3","estimated_propane_ratio","145","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 145 PSI","powair-145","39","230.51","estimated_propane_ratio","145","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 145 PSI","powair-145","40","235.8","estimated_propane_ratio","145","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 175 PSI","powair-175","-15","61.17","estimated_propane_ratio","175","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 175 PSI","powair-175","-14","63.31","estimated_propane_ratio","175","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 175 PSI","powair-175","-13","65.5","estimated_propane_ratio","175","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 175 PSI","powair-175","-12","67.75","estimated_propane_ratio","175","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 175 PSI","powair-175","-11","70.06","estimated_propane_ratio","175","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 175 PSI","powair-175","-10","72.43","estimated_propane_ratio","175","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 175 PSI","powair-175","-9","74.86","estimated_propane_ratio","175","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 175 PSI","powair-175","-8","77.35","estimated_propane_ratio","175","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 175 PSI","powair-175","-7","79.89","estimated_propane_ratio","175","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 175 PSI","powair-175","-6","82.5","estimated_propane_ratio","175","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 175 PSI","powair-175","-5","85.18","estimated_propane_ratio","175","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 175 PSI","powair-175","-4","87.91","estimated_propane_ratio","175","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 175 PSI","powair-175","-3","90.72","estimated_propane_ratio","175","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 175 PSI","powair-175","-2","93.58","estimated_propane_ratio","175","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 175 PSI","powair-175","-1","96.52","estimated_propane_ratio","175","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 175 PSI","powair-175","0","99.52","estimated_propane_ratio","175","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 175 PSI","powair-175","1","102.59","estimated_propane_ratio","175","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 175 PSI","powair-175","2","105.72","estimated_propane_ratio","175","20","anchor_scaled_propane_antoine_nist","high",""
